index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,TRANSFER,run_index
364,local,121,10,128,128,4,400,0.01075,105.28,99563.52,0
365,local,121,10,128,128,4,400,0.006019999999999999,105.38,99563.52,1
366,local,121,10,128,128,4,400,0.00828,105.74,99553.28,2
367,local,122,100,128,128,4,400,0.009179999999999999,105.03,99553.28,0
368,local,122,100,128,128,4,400,0.009519999999999999,105.13,99563.52,1
369,local,122,100,128,128,4,400,0.02818,105.4,99553.28,2
370,local,123,1,256,128,4,400,0.00634,105.51,161935.36,0
371,local,123,1,256,128,4,400,0.0259,105.71,161925.12,1
372,local,123,1,256,128,4,400,0.008320000000000001,105.53,161935.36,2
373,local,124,10,256,128,4,400,0.009699999999999999,105.47,161935.36,0
374,local,124,10,256,128,4,400,0.00894,105.72,161925.12,1
375,local,124,10,256,128,4,400,0.00838,105.34,161935.36,2
376,local,125,100,256,128,4,400,0.01598,104.5,161914.88,0
377,local,125,100,256,128,4,400,0.033049999999999996,104.87,161925.12,1
378,local,125,100,256,128,4,400,0.01907,104.95,161914.88,2
379,local,126,1,32,256,4,400,0.00881,105.42,65576.96,0
380,local,126,1,32,256,4,400,0.0081,105.53,65576.96,1
381,local,126,1,32,256,4,400,0.00834,105.38,65576.96,2
382,local,127,10,32,256,4,400,0.02286,105.55,65566.72,0
383,local,127,10,32,256,4,400,0.00775,105.53,65576.96,1
384,local,127,10,32,256,4,400,0.00885,105.46,65566.72,2
385,local,128,100,32,256,4,400,0.01486,105.63,65566.72,0
386,local,128,100,32,256,4,400,0.00864,105.33,65576.96,1
387,local,128,100,32,256,4,400,0.0081,105.46,65576.96,2
388,local,129,1,128,256,4,400,0.0086,105.15,99563.52,0
389,local,129,1,128,256,4,400,0.00851,105.52,99563.52,1
390,local,129,1,128,256,4,400,0.01614,105.68,99563.52,2
391,local,130,10,128,256,4,400,0.00796,105.27,99553.28,0
392,local,130,10,128,256,4,400,0.00805,105.25,99553.28,1
393,local,130,10,128,256,4,400,0.00775,105.6,99563.52,2
394,local,131,100,128,256,4,400,0.013210000000000001,104.91,98723.84,0
395,local,131,100,128,256,4,400,0.01248,105.01,99553.28,1
396,local,131,100,128,256,4,400,0.01226,105.22,99543.04,2
397,local,132,1,256,256,4,400,0.00897,105.19,161935.36,0
398,local,132,1,256,256,4,400,0.00841,105.55,161935.36,1
399,local,132,1,256,256,4,400,0.008230000000000001,105.58,161935.36,2
400,local,133,10,256,256,4,400,0.00923,105.29,161925.12,0
401,local,133,10,256,256,4,400,0.00294,105.53,161935.36,1
402,local,133,10,256,256,4,400,0.02205,105.4,161904.64,2
403,local,134,100,256,256,4,400,0.02118,103.24,161904.64,0
404,local,134,100,256,256,4,400,0.0207,103.06,161914.88,1
405,local,134,100,256,256,4,400,0.0197,102.95,161894.4,2
406,local,135,1,32,32,6,400,0.02318,69.17,64931.84,0
407,local,135,1,32,32,6,400,0.00813,69.5,64942.08,1
408,local,135,1,32,32,6,400,0.024,69.33,64942.08,2
409,local,136,10,32,32,6,400,0.00834,69.34,64942.08,0
410,local,136,10,32,32,6,400,0.02352,69.39,64921.6,1
411,local,136,10,32,32,6,400,0.0085,69.26,64942.08,2
412,local,137,100,32,32,6,400,0.008150000000000001,69.44,64942.08,0
413,local,137,100,32,32,6,400,0.0069900000000000006,69.37,64942.08,1
414,local,137,100,32,32,6,400,0.00855,69.41,64942.08,2
415,local,138,1,128,32,6,400,0.00827,69.38,98600.96,0
416,local,138,1,128,32,6,400,0.00856,69.26,98600.96,1
417,local,138,1,128,32,6,400,0.0077800000000000005,69.21,98600.96,2
