index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,run_index
432,local,144,1,8,8,8,100,0.000625,12.44,0
433,local,144,1,8,8,8,100,0.000315,12.18,1
434,local,144,1,8,8,8,100,0.000595,12.29,2
435,local,145,10,8,8,8,100,0.000279,12.22,0
436,local,145,10,8,8,8,100,0.000412,12.28,1
437,local,145,10,8,8,8,100,0.000534,12.21,2
438,local,146,100,8,8,8,100,0.000823,12.29,0
439,local,146,100,8,8,8,100,0.000376,12.21,1
440,local,146,100,8,8,8,100,0.000298,12.32,2
441,local,147,1,16,8,8,100,0.000492,12.35,0
442,local,147,1,16,8,8,100,0.000517,12.14,1
443,local,147,1,16,8,8,100,0.00035,12.33,2
444,local,148,10,16,8,8,100,0.00029,12.21,0
445,local,148,10,16,8,8,100,0.00108,12.32,1
446,local,148,10,16,8,8,100,0.000706,12.32,2
447,local,149,100,16,8,8,100,0.000655,12.42,0
448,local,149,100,16,8,8,100,0.00125,12.37,1
449,local,149,100,16,8,8,100,0.000776,12.33,2
450,local,150,1,32,8,8,100,0.000359,12.24,0
451,local,150,1,32,8,8,100,0.000792,12.38,1
452,local,150,1,32,8,8,100,0.000489,12.23,2
453,local,151,10,32,8,8,100,0.0009,12.23,0
454,local,151,10,32,8,8,100,0.000406,12.26,1
455,local,151,10,32,8,8,100,0.0008900000000000001,12.38,2
456,local,152,100,32,8,8,100,0.000294,12.29,0
457,local,152,100,32,8,8,100,0.00145,12.31,1
458,local,152,100,32,8,8,100,0.000233,12.22,2
459,local,153,1,64,8,8,100,0.000453,12.49,0
460,local,153,1,64,8,8,100,0.000484,12.24,1
461,local,153,1,64,8,8,100,0.000621,12.26,2
462,local,154,10,64,8,8,100,0.000716,12.33,0
463,local,154,10,64,8,8,100,0.00098,12.22,1
464,local,154,10,64,8,8,100,0.000651,12.42,2
465,local,155,100,64,8,8,100,0.00087,12.27,0
466,local,155,100,64,8,8,100,0.0011799999999999998,12.39,1
467,local,155,100,64,8,8,100,0.00369,12.48,2
468,local,156,1,8,16,8,100,0.000697,12.3,0
469,local,156,1,8,16,8,100,0.000581,12.25,1
470,local,156,1,8,16,8,100,0.000655,12.28,2
471,local,157,10,8,16,8,100,0.000178,12.2,0
472,local,157,10,8,16,8,100,0.000545,12.26,1
473,local,157,10,8,16,8,100,0.000529,12.28,2
474,local,158,100,8,16,8,100,0.000747,12.56,0
475,local,158,100,8,16,8,100,0.000587,12.47,1
476,local,158,100,8,16,8,100,0.000476,12.3,2
477,local,159,1,16,16,8,100,0.000747,12.28,0
478,local,159,1,16,16,8,100,0.000344,12.25,1
479,local,159,1,16,16,8,100,0.00183,12.29,2
480,local,160,10,16,16,8,100,0.000593,12.25,0
481,local,160,10,16,16,8,100,0.000323,12.21,1
482,local,160,10,16,16,8,100,0.000216,12.28,2
483,local,161,100,16,16,8,100,0.000297,12.23,0
484,local,161,100,16,16,8,100,0.000847,12.63,1
485,local,161,100,16,16,8,100,0.001,12.43,2
486,local,162,1,32,16,8,100,0.00086,12.25,0
487,local,162,1,32,16,8,100,0.000409,12.23,1
488,local,162,1,32,16,8,100,0.000288,12.24,2
489,local,163,10,32,16,8,100,0.0012900000000000001,12.29,0
490,local,163,10,32,16,8,100,0.000569,12.31,1
491,local,163,10,32,16,8,100,0.00115,12.35,2
492,local,164,100,32,16,8,100,0.00093,12.32,0
493,local,164,100,32,16,8,100,0.000532,12.3,1
494,local,164,100,32,16,8,100,0.000278,12.19,2
495,local,165,1,64,16,8,100,0.000767,12.39,0
496,local,165,1,64,16,8,100,0.00091,12.32,1
497,local,165,1,64,16,8,100,0.000468,12.29,2
498,local,166,10,64,16,8,100,0.00088,12.48,0
499,local,166,10,64,16,8,100,0.00188,12.56,1
500,local,166,10,64,16,8,100,0.00128,12.35,2
501,local,167,100,64,16,8,100,0.00204,12.41,0
